GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mua_type,TimeFrame,GeoVintage,Layer_Source,facility_provider_number,facility_name,facility_subcategory,address,total_beds,certified_beds,rural_status,ph_num,full_time_physicians,full_time_physician_assis,nurse_practitioners,other_full_time_personnel,hhs_region,facility_category,Point_Source,Location,ZipCode_long,Zipcode,Population,City,State,Hospital_Cost,CountyCode
Census Tract,4013422641,AZ,4013422641,4013422641,Not an MUA or MUP,2024,2010,HRSA,34041,AGAVE RIDGE BEHAVIORAL HOSPITAL,Psychiatric,"3322 S Ellsworth Rd, Mesa, AZ 85212-2730",100,100,No,615-861-6000,0,0,0,23,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85212-2730,85212,112,Mesa,AZ,32349536400,4013
Census Tract,4009961202,AZ,4009961202,4009961202,Medically Underserved Area,2024,2010,HRSA,31319,MT. GRAHAM REGIONAL MEDICAL CENTER,Critical Access Hospitals,"1600 S 20th Ave, Safford, AZ 85546-4011",25,25,Yes,928-348-4000,16,2,7,38,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85546-4011,85546,112,Safford,AZ,263571000,4009
Census Tract,4013615200,AZ,4013615200,4013615200,Not an MUA or MUP,2024,2010,HRSA,30103,MAYO CLINIC HOSPITAL,Short Term,"5777 East Mayo Boulevard, Phoenix, AZ 85054",280,280,No,480-342-4201,139,28,22,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85054",85054,112,Phoenix,AZ,32349536400,4013
Census Tract,4013615200,AZ,4013615200,4013615200,Not an MUA or MUP,2024,2010,HRSA,39801,MAYO CLINIC HOSPITAL,Transplant Hospitals,"5777 East Mayo Boulevard, Phoenix, AZ 85054",0,0,No,480-342-1900,0,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85054",85054,112,Phoenix,AZ,32349536400,4013
Census Tract,4013082017,AZ,4013082017,4013082017,Not an MUA or MUP,2024,2010,HRSA,30115,BANNER ESTRELLA MEDICAL CENTER,Short Term,"9201 West Thomas Road, Phoenix, AZ 85037",317,317,No,623-327-4000,1,0,0,747,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85037",85037,112,Phoenix,AZ,32349536400,4013
Census Tract,4003000202,AZ,4003000202,4003000202,Medically Underserved Area,2024,2010,HRSA,31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",Critical Access Hospitals,"901 West Rex Allen Drive, Willcox, AZ 85643-1009",24,24,Yes,520-384-3541,1,0,3.2,60,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85643-1009,85643,112,Willcox,AZ,1138087800,4003
Census Tract,4003000301,AZ,4003000301,4003000301,Medically Underserved Area,2024,2010,HRSA,31301,BENSON HOSPITAL,Critical Access Hospitals,"450 South Ocotillo Street, Benson, AZ 85602",22,22,Yes,520-586-2261,1.5,1,5,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85602",85602,112,Benson,AZ,1138087800,4003
Census Tract,4013108602,AZ,4013108602,4013108602,Not an MUA or MUP,2024,2010,HRSA,30078,PHOENIX INDIAN MEDICAL CENTER,Short Term,"4212 N 16th St, Phoenix, AZ 85016-5319",179,179,No,602-263-1200,47,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85016-5319,85016,112,Phoenix,AZ,32349536400,4013
Census Tract,4013611300,AZ,4013611300,4013611300,Not an MUA or MUP,2024,2010,HRSA,30146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,Short Term,"33400 North 32nd Avenue, Phoenix, AZ 85085-8876",70,70,No,480-882-4327,45,8,14,113,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85085-8876,85085,112,Phoenix,AZ,32349536400,4013
Census Tract,4003001100,AZ,4003001100,4003001100,Medically Underserved Population,2024,2010,HRSA,31312,COPPER QUEEN COMMUNITY HOSPITAL,Critical Access Hospitals,"101 Cole Ave, Bisbee, AZ 85603-1327",14,14,Yes,520-432-6401,15,2,7,240,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85603-1327,85603,112,Bisbee,AZ,1138087800,4003
Census Tract,4015952002,AZ,4015952002,4015952002,Medically Underserved Population,2024,2010,HRSA,30117,VALLEY VIEW MEDICAL CENTER,Short Term,"5330 South Highway 95, Fort Mohave, AZ 86426",84,84,Yes,928-788-2273,5,0,2,108,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 86426",86426,112,Fort Mohave,AZ,2220213300,4015
Census Tract,4013941300,AZ,4013941300,4013941300,Not an MUA or MUP,2024,2010,HRSA,33038,"GLOBALREHAB - SCOTTSDALE, LLC",Rehabilitation,"8850 E Pima Center Pkwy, Scottsdale, AZ 85258-4617",50,50,No,717-975-4503,0,0,0,41,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85258-4617,85258,112,Scottsdale,AZ,32349536400,4013
Census Tract,4013941300,AZ,4013941300,4013941300,Not an MUA or MUP,2024,2010,HRSA,34040,VIA LINDA BEHAVIORAL HOSPITAL,Psychiatric,"9160 East Horseshoe Road, Scottsdale, AZ 85258",120,120,No,480-476-7000,1,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85258",85258,112,Scottsdale,AZ,32349536400,4013
Census Tract,5071952100,AR,5071952100,5071952100,Medically Underserved Area,2024,2010,HRSA,40002,JOHNSON REGIONAL MEDICAL CENTER,Short Term,"1100 E Poplar St, Clarksville, AR 72830-4401",90,90,Yes,479-754-5454,6,0,1,183,Region 6,Hospital,HRSA,United States with inhabited territories (Nation),72830-4401,72830,8,Clarksville,AR,203982300,5071
Census Tract,6053012800,CA,6053012800,6053012800,Not an MUA or MUP,2024,2010,HRSA,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Short Term,"23625 Holman Hwy, Monterey, CA 93940-5902",286,286,No,831-624-5311,0,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93940-5902,93940,112,Monterey,CA,2996325800,6053
Census Tract,6061022400,CA,6061022400,6061022400,Not an MUA or MUP,2024,2010,HRSA,50309,SUTTER ROSEVILLE MEDICAL CENTER,Short Term,"1 Medical Plaza Dr, Roseville, CA 95661-3037",328,328,No,916-781-1000,0,0,2,983,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95661-3037,95661,112,Roseville,CA,3609913400,6061
Census Tract,6059076000,CA,6059076000,6059076000,Not an MUA or MUP,2024,2010,HRSA,50069,PROVIDENCE ST. JOSEPH HOSPITAL,Short Term,"1100 W Stewart Dr, Orange, CA 92868-3849",462,426,No,714-633-9111,1,0,0,1331.25,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92868-3849,92868,112,Orange,CA,23461924000,6059
Census Tract,6059076000,CA,6059076000,6059076000,Not an MUA or MUP,2024,2010,HRSA,53304,CHILDREN'S HOSPITAL OF ORANGE COUNTY,Childrens,"1201 W La Veta Ave, Orange, CA 92868-4203",192,192,No,714-997-3000,1,0,0,302.5,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92868-4203,92868,112,Orange,CA,23461924000,6059
Census Tract,6059076000,CA,6059076000,6059076000,Not an MUA or MUP,2024,2010,HRSA,59816,ST JOSEPH HOSPITAL,Transplant Hospitals,"1100 W Stewart Dr, Orange, CA 92868-3849",0,0,No,714-771-8087,0,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92868-3849,92868,112,Orange,CA,23461924000,6059
Census Tract,6059088502,CA,6059088502,6059088502,Not an MUA or MUP,2024,2010,HRSA,50230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,Short Term,"12601 Garden Grove Blvd, Garden Grove, CA 92843-1908",167,167,No,714-537-5160,0,0,0,257,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92843-1908,92843,112,Garden Grove,CA,23461924000,6059
Census Tract,6059075515,CA,6059075515,6059075515,Not an MUA or MUP,2024,2010,HRSA,50780,FOOTHILL REGIONAL MEDICAL CENTER,Short Term,"14662 Newport Ave, Tustin, CA 92780-6064",135,135,No,714-619-7700,0,0,0,64,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92780-6064,92780,112,Tustin,CA,23461924000,6059
Census Tract,6059075515,CA,6059075515,6059075515,Not an MUA or MUP,2024,2010,HRSA,53034,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,Rehabilitation,"15120 Kensington Park Dr, Tustin, CA 92782-1801",117,117,No,714-832-9200,0,2,0,100,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92782-1801,92782,112,Tustin,CA,23461924000,6059
Census Tract,6059011715,CA,6059011715,6059011715,Not an MUA or MUP,2024,2010,HRSA,50589,UCI HEALTH-PLACENTIA LINDA,Short Term,"1301 N Rose Dr, Placentia, CA 92870-3802",114,114,No,714-993-2000,0,0,0,132,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92870-3802,92870,112,Placentia,CA,23461924000,6059
Census Tract,6029003124,CA,6029003124,6029003124,Not an MUA or MUP,2024,2010,HRSA,54155,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",Psychiatric,"5201 White Ln, Bakersfield, CA 93309-6200",90,90,No,661-398-1800,0,0,0,162,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93309-6200,93309,112,Bakersfield,CA,5873403700,6029
Census Tract,6029001600,CA,6029001600,6029001600,Medically Underserved Area,2024,2010,HRSA,50455,ADVENTIST HEALTH BAKERSFIELD,Short Term,"2615 Chester Ave, Bakersfield, CA 93301-2014",255,247,No,661-395-3000,0,0,2,1125,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93301-2014,93301,112,Bakersfield,CA,5873403700,6029
Census Tract,5049550200,AR,5049550200,5049550200,Medically Underserved Area,2024,2010,HRSA,41322,BAXTER HEALTH FULTON COUNTY HOSPITAL,Critical Access Hospitals,"679 N Main St, Salem, AR 72576-9451",25,25,Yes,870-895-2691,1,0,1,98.48,Region 6,Hospital,HRSA,United States with inhabited territories (Nation),72576-9451,72576,8,Salem,AR,110067300,5049
Census Tract,6067005601,CA,6067005601,6067005601,Not an MUA or MUP,2024,2010,HRSA,50425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,Short Term,"2025 Morse Ave, Sacramento, CA 95825-2100",628,628,No,916-973-5000,0,0,0,2214,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95825-2100,95825,112,Sacramento,CA,12168034100,6067
Census Tract,6067001700,CA,6067001700,6067001700,Medically Underserved Area,2024,2010,HRSA,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,Short Term,"2315 Stockton Blvd, Sacramento, CA 95817-2201",631,631,No,916-734-2011,1286,15,147,4762,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95817-2201,95817,112,Sacramento,CA,12168034100,6067
Census Tract,6067001700,CA,6067001700,6067001700,Medically Underserved Area,2024,2010,HRSA,53046,UC DAVIS REHABILITATION HOSPITAL,Rehabilitation,"4875 Broadway, Sacramento, CA 95820-1500",52,52,No,916-734-2777,0,0,0,20,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95820-1500,95820,112,Sacramento,CA,12168034100,6067
Census Tract,6067001700,CA,6067001700,6067001700,Medically Underserved Area,2024,2010,HRSA,53311,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF,Childrens,"2425 Stockton Blvd, Sacramento, CA 95817-2215",80,80,No,916-453-2000,11.15,1,4.7,196.6,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95817-2215,95817,112,Sacramento,CA,12168034100,6067
Census Tract,6067001700,CA,6067001700,6067001700,Medically Underserved Area,2024,2010,HRSA,59808,UNIVERSITY OF CALIFORNIA DAVIS-  TRANSPLANT,Transplant Hospitals,"2315 Stockton Blvd, Sacramento, CA 95817-2282",0,0,No,916-734-5693,0,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95817-2282,95817,112,Sacramento,CA,12168034100,6067
Census Tract,6083001903,CA,6083001903,6083001903,Not an MUA or MUP,2024,2010,HRSA,51331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,Critical Access Hospitals,"2050 Viborg Rd, Solvang, CA 93463-2220",11,11,Yes,805-688-6431,1,1,2,30.06,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93463-2220,93463,112,Solvang,CA,3311354000,6083
Census Tract,6073008305,CA,6073008305,6073008305,Not an MUA or MUP,2024,2010,HRSA,50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,Short Term,"9888 Genesee Ave, La Jolla, CA 92037-1205",332,318,No,858-626-4123,0.5,1,5,942.79,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92037-1205,92037,112,La Jolla,CA,23901662100,6073
Census Tract,6073017054,CA,6073017054,6073017054,Not an MUA or MUP,2024,2010,HRSA,50636,PALOMAR MEDICAL CENTER POWAY,Short Term,"15615 Pomerado Rd, Poway, CA 92064-2405",236,95,No,858-613-4000,0,0,0,351,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92064-2405,92064,112,Poway,CA,23901662100,6073
Census Tract,6089010100,CA,6089010100,6089010100,Not an MUA or MUP,2024,2010,HRSA,50764,SHASTA REGIONAL MEDICAL CENTER,Short Term,"1100 Butte St, Redding, CA 96001-0852",246,191,No,530-244-5454,1,2,1,384,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),96001-0852,96001,112,Redding,CA,1590820400,6089
Census Tract,6019004406,CA,6019004406,6019004406,Not an MUA or MUP,2024,2010,HRSA,50710,KAISER FOUNDATION HOSPITAL - FRESNO,Short Term,"7300 N Fresno St, Fresno, CA 93720-2941",169,169,No,559-448-4500,224.3,2.7,11.9,662,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93720-2941,93720,112,Fresno,CA,6867239900,6019
Census Tract,6079011901,CA,6079011901,6079011901,Medically Underserved Area,2024,2010,HRSA,50016,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",Short Term,"345 S Halcyon Rd, Arroyo Grande, CA 93420-3817",67,53,No,805-489-4261,0,16,0,135.9,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93420-3817,93420,112,Arroyo Grande,CA,2459982700,6079
Census Tract,6071000203,CA,6071000203,6071000203,Not an MUA or MUP,2024,2010,HRSA,50758,MONTCLAIR HOSPITAL MEDICAL CENTER,Short Term,"5000 San Bernardino St, Montclair, CA 91763-2326",106,106,No,909-625-8300,0,1,0,139,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91763-2326,91763,112,Montclair,CA,14312598300,6071
Census Tract,6071008301,CA,6071008301,6071008301,Not an MUA or MUP,2024,2010,HRSA,50272,REDLANDS COMMUNITY HOSPITAL,Short Term,"350 Terracina Blvd, Redlands, CA 92373-4850",229,229,No,909-335-5500,0,0,2,676,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92373-4850,92373,112,Redlands,CA,14312598300,6071
Census Tract,6071004202,CA,6071004202,6071004202,Not an MUA or MUP,2024,2010,HRSA,50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,Short Term,"1805 Medical Center Dr, San Bernardino, CA 92411-1217",347,347,No,909-887-6333,0,0,0,572.5,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92411-1217,92411,112,San Bernardino,CA,14312598300,6071
Census Tract,6071004201,CA,6071004201,6071004201,Not an MUA or MUP,2024,2010,HRSA,53037,BALLARD REHABILITATION HOSPITAL,Rehabilitation,"1760 W 16th St, San Bernardino, CA 92411-1160",60,60,No,909-473-1275,0,0,0,60,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92411-1160,92411,112,San Bernardino,CA,14312598300,6071
Census Tract,6065043401,CA,6065043401,6065043401,Medically Underserved Area,2024,2010,HRSA,50390,HEMET GLOBAL MEDICAL CENTER,Short Term,"1117 E Devonshire Ave, Hemet, CA 92543-3083",433,433,No,951-652-2811,0,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92543-3083,92543,112,Hemet,CA,17294125400,6065
Census Tract,6065041600,CA,6065041600,6065041600,Medically Underserved Area,2024,2010,HRSA,50329,CORONA REGIONAL MEDICAL CENTER,Short Term,"800 S Main St, Corona, CA 92882-3420",240,240,No,951-737-4343,0,0,0,363.12,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),92882-3420,92882,112,Corona,CA,17294125400,6065
Census Tract,6111005202,CA,6111005202,6111005202,Not an MUA or MUP,2024,2010,HRSA,50616,ST. JOHN'S HOSPITAL CAMARILLO,Short Term,"2309 Antonio Ave, Camarillo, CA 93010-1414",180,180,No,805-389-5800,0,1,0,233.7,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),93010-1414,93010,112,Camarillo,CA,6402218500,6111
Census Tract,6007000603,CA,6007000603,6007000603,Not an MUA or MUP,2024,2010,HRSA,50039,ENLOE HEALTH,Short Term,"1531 Esplanade, Chico, CA 95926-3310",298,298,No,530-332-7300,0,10.31,10.15,1097.36,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95926-3310,95926,112,Chico,CA,1757505800,6007
Census Tract,6001430900,CA,6001430900,6001430900,Not an MUA or MUP,2024,2010,HRSA,50488,EDEN MEDICAL CENTER,Short Term,"20103 Lake Chabot Rd, Castro Valley, CA 94546-5305",155,155,No,510-537-1234,0,0,0,516.53,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),94546-5305,94546,112,Castro Valley,CA,12628534800,6001
Census Tract,6001403501,CA,6001403501,6001403501,Not an MUA or MUP,2024,2010,HRSA,50075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,Short Term,"275 W MacArthur Blvd, Oakland, CA 94611-5641",396,348,No,510-752-1000,0,0,300,300,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),94611-5641,94611,112,Oakland,CA,12628534800,6001
Census Tract,6045011500,CA,6045011500,6045011500,Medically Underserved Area,2024,2010,HRSA,50301,ADVENTIST HEALTH UKIAH VALLEY,Short Term,"275 Hospital Dr, Ukiah, CA 95482-4531",127,111,Yes,707-462-3111,0,0,0,304,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95482-4531,95482,112,Ukiah,CA,765038300,6045
Census Tract,6075030500,CA,6075030500,6075030500,Not an MUA or MUP,2024,2010,HRSA,50668,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,Short Term,"375 Laguna Honda Blvd, San Francisco, CA 94116-1411",11,11,No,415-759-2300,2.9,0,0,5.15,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),94116-1411,94116,112,San Francisco,CA,6817781300,6075
Census Tract,6075025300,CA,6075025300,6075025300,Not an MUA or MUP,2024,2010,HRSA,50055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,Short Term,"3555 Cesar Chavez, San Francisco, CA 94110-4403",120,120,No,415-641-6562,0,0,0,570.9,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),94110-4403,94110,112,San Francisco,CA,6817781300,6075
Census Tract,6095251901,CA,6095251901,6095251901,Not an MUA or MUP,2024,2010,HRSA,50101,SUTTER SOLANO MEDICAL CENTER,Short Term,"300 Hospital Dr, Vallejo, CA 94589-2574",111,102,No,707-554-5280,0,0,0,189.29,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),94589-2574,94589,112,Vallejo,CA,3637291700,6095
Census Tract,6023010901,CA,6023010901,6023010901,Not an MUA or MUP,2024,2010,HRSA,51318,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,Critical Access Hospitals,"3300 Renner Dr, Fortuna, CA 95540-3120",25,25,Yes,707-445-8121,0,0,0,59.9,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95540-3120,95540,112,Fortuna,CA,1156566100,6023
Census Tract,6023001101,CA,6023001101,6023001101,Not an MUA or MUP,2024,2010,HRSA,50028,MAD RIVER COMMUNITY HOSPITAL,Short Term,"3800 Janes Rd, Arcata, CA 95521-4742",80,80,Yes,707-822-3621,0,0,0,199.75,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),95521-4742,95521,112,Arcata,CA,1156566100,6023
Census Tract,6037406901,CA,6037406901,6037406901,Medically Underserved Population,2024,2010,HRSA,52045,KINDRED HOSPITAL BALDWIN PARK,Long Term,"14148 Francisquito Ave, Baldwin Park, CA 91706-6120",95,95,No,626-388-2700,0,0,0,32,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91706-6120,91706,112,Baldwin Park,CA,69487042100,6037
Census Tract,6037311600,CA,6037311600,6037311600,Not an MUA or MUP,2024,2010,HRSA,50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,Short Term,"501 S Buena Vista St, Burbank, CA 91505-4809",360,360,No,818-843-5111,2,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91505-4809,91505,112,Burbank,CA,69487042100,6037
Census Tract,6037433700,CA,6037433700,6037433700,Not an MUA or MUP,2024,2010,HRSA,50738,GREATER EL MONTE COMMUNITY HOSPITAL,Short Term,"1701 Santa Anita Ave, South El Monte, CA 91733-3411",104,104,No,626-350-7975,0,0,0,172,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91733-3411,91733,112,South El Monte,CA,69487042100,6037
Census Tract,6037482102,CA,6037482102,6037482102,Not an MUA or MUP,2024,2010,HRSA,50736,MONTEREY PARK HOSPITAL,Short Term,"900 S Atlantic Blvd, Monterey Park, CA 91754-4716",102,102,No,626-570-9000,1,1,1,116.7,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91754-4716,91754,112,Monterey Park,CA,69487042100,6037
Census Tract,6037301000,CA,6037301000,6037301000,Not an MUA or MUP,2024,2010,HRSA,50239,GLENDALE ADVENTIST MEDICAL CENTER,Short Term,"1509 Wilson Ter, Glendale, CA 91206-4007",515,515,No,818-409-8202,0,0,0,1004.5,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),91206-4007,91206,112,Glendale,CA,69487042100,6037
